siteId,programId,programName,programDescription,broadcastNetwork,airDate,airTime,sport,league,homeTeam,awayTeam,venue,programType,duration,isLive
22101,3998101,PHI @ SD,Regular season game. Philadelphia Phillies at San Diego Padres.,Bally Sports,2026-05-17,21:40:00,Baseball,MLB,San Diego Padres,Philadelphia Phillies,Petco Park,Live Game,210,1
22102,3998102,CHC @ BOS,Regular season game. Chicago Cubs at Boston Red Sox.,NESN,2026-05-17,16:05:00,Baseball,MLB,Boston Red Sox,Chicago Cubs,Fenway Park,Live Game,210,1
22103,3998103,SF @ NYY,Regular season game. San Francisco Giants at New York Yankees.,YES Network,2026-05-18,13:05:00,Baseball,MLB,New York Yankees,San Francisco Giants,Yankee Stadium,Live Game,210,1
22104,3998104,TEX @ LAD,Sunday Night Baseball. Texas Rangers at Los Angeles Dodgers.,ESPN,2026-05-18,19:00:00,Baseball,MLB,Los Angeles Dodgers,Texas Rangers,Dodger Stadium,Live Game,210,1
22105,3998105,ATL @ NYM,Regular season game. Atlanta Braves at New York Mets.,SNY,2026-05-19,19:10:00,Baseball,MLB,New York Mets,Atlanta Braves,Citi Field,Live Game,210,1
22106,3998106,STL @ HOU,Regular season game. St. Louis Cardinals at Houston Astros.,Fox Sports 1,2026-05-19,20:10:00,Baseball,MLB,Houston Astros,St. Louis Cardinals,Minute Maid Park,Live Game,210,1
22107,3998107,LAD @ CHC,Regular season game. Los Angeles Dodgers at Chicago Cubs.,Marquee Sports Network,2026-05-20,14:20:00,Baseball,MLB,Chicago Cubs,Los Angeles Dodgers,Wrigley Field,Live Game,210,1
22108,3998108,BOS @ TEX,Regular season game. Boston Red Sox at Texas Rangers.,Bally Sports,2026-05-20,20:05:00,Baseball,MLB,Texas Rangers,Boston Red Sox,Globe Life Field,Live Game,210,1
22109,3998109,NYY @ PHI,Regular season game. New York Yankees at Philadelphia Phillies.,NBC Sports,2026-05-21,19:05:00,Baseball,MLB,Philadelphia Phillies,New York Yankees,Citizens Bank Park,Live Game,210,1
22110,3998110,NYM @ SD,Regular season game. New York Mets at San Diego Padres.,Fox Sports 1,2026-05-21,21:40:00,Baseball,MLB,San Diego Padres,New York Mets,Petco Park,Live Game,210,1
22111,3998111,HOU @ SF,Regular season game. Houston Astros at San Francisco Giants.,Apple TV+,2026-05-22,21:45:00,Baseball,MLB,San Francisco Giants,Houston Astros,Oracle Park,Live Game,210,1
22112,3998112,ATL @ STL,Regular season game. Atlanta Braves at St. Louis Cardinals.,Fox,2026-05-22,19:15:00,Baseball,MLB,St. Louis Cardinals,Atlanta Braves,Busch Stadium,Live Game,210,1
22113,3998113,MLB Tonight - 2026-05-22,Midweek studio analysis with trade deadline preview.,MLB Network,2026-05-22,22:00:00,Baseball,MLB,,,MLB Network Studio,Studio Show,60,0
22114,3998114,SD @ BOS,Regular season game. San Diego Padres at Boston Red Sox.,NESN,2026-05-23,19:10:00,Baseball,MLB,Boston Red Sox,San Diego Padres,Fenway Park,Live Game,210,1
22115,3998115,CHC @ NYM,Regular season game. Chicago Cubs at New York Mets.,SNY,2026-05-23,19:10:00,Baseball,MLB,New York Mets,Chicago Cubs,Citi Field,Live Game,210,1
22116,3998116,PHI @ ATL,Regular season game. Philadelphia Phillies at Atlanta Braves.,TBS,2026-05-24,16:20:00,Baseball,MLB,Atlanta Braves,Philadelphia Phillies,Truist Park,Live Game,210,1
22117,3998117,TEX @ HOU,Lone Star Series. Texas Rangers at Houston Astros.,Fox,2026-05-24,20:10:00,Baseball,MLB,Houston Astros,Texas Rangers,Minute Maid Park,Live Game,210,1
22118,3998118,LAD @ NYY,Regular season game. Los Angeles Dodgers at New York Yankees.,ESPN,2026-05-24,19:05:00,Baseball,MLB,New York Yankees,Los Angeles Dodgers,Yankee Stadium,Live Game,210,1
22119,3998119,SF @ STL,Regular season game. San Francisco Giants at St. Louis Cardinals.,Fox Sports 1,2026-05-25,14:15:00,Baseball,MLB,St. Louis Cardinals,San Francisco Giants,Busch Stadium,Live Game,210,1
22120,3998120,BOS @ NYM,Sunday Night Baseball. Boston Red Sox at New York Mets.,ESPN,2026-05-25,19:00:00,Baseball,MLB,New York Mets,Boston Red Sox,Citi Field,Live Game,210,1
22121,3998121,NYY @ CHC,Regular season game. New York Yankees at Chicago Cubs.,Marquee Sports Network,2026-05-26,14:20:00,Baseball,MLB,Chicago Cubs,New York Yankees,Wrigley Field,Live Game,210,1
22122,3998122,HOU @ PHI,Regular season game. Houston Astros at Philadelphia Phillies.,NBC Sports,2026-05-26,19:05:00,Baseball,MLB,Philadelphia Phillies,Houston Astros,Citizens Bank Park,Live Game,210,1
22123,3998123,ATL @ LAD,Regular season game. Atlanta Braves at Los Angeles Dodgers.,ESPN2,2026-05-27,22:10:00,Baseball,MLB,Los Angeles Dodgers,Atlanta Braves,Dodger Stadium,Live Game,210,1
22124,3998124,STL @ TEX,Regular season game. St. Louis Cardinals at Texas Rangers.,Bally Sports,2026-05-27,20:05:00,Baseball,MLB,Texas Rangers,St. Louis Cardinals,Globe Life Field,Live Game,210,1
